2025-09-20T17:24:34.339462+00:00 | shop=shops.txt | url=https://shops.txt/collections/sneakers/products.json?limit=250 | issue=Request error: DNS lookup failed: no results for hostname lookup: shops.txt.
2025-09-20T17:27:26.992463+00:00 | shop=shops.txt | url=https://shops.txt/collections/sneakers/products.json?limit=250 | issue=Request error: DNS lookup failed: no results for hostname lookup: shops.txt.
2025-09-20T17:27:52.106603+00:00 | shop=shops.txt | url=https://shops.txt/collections/sneakers/products.json?limit=250 | issue=Request error: DNS lookup failed: no results for hostname lookup: shops.txt.
2025-09-20T17:31:17.418509+00:00 | shop=www.logoofficial.com/collections/logoall | url=https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250
2025-09-20T17:45:07.004703+00:00 | shop=www.logoofficial.com/collections/logoall | url=https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250
2025-09-20T17:46:26.680165+00:00 | shop=www.logoofficial.com/collections/logoall | url=https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250
2025-09-20T17:47:50.143689+00:00 | shop=shops.txt | url=https://shops.txt/collections/sneakers/products.json?limit=250 | issue=Request error: DNS lookup failed: no results for hostname lookup: shops.txt.
2025-09-20T17:48:22.533654+00:00 | shop=shops.txt | url=https://shops.txt/collections/sneakers/products.json?limit=250 | issue=Request error: DNS lookup failed: no results for hostname lookup: shops.txt.
2025-09-20T17:49:34.589362+00:00 | shop=shops.txt | url=https://shops.txt/collections/sneakers/products.json?limit=250 | issue=Request error: DNS lookup failed: no results for hostname lookup: shops.txt.
2025-09-20T17:51:18.785902+00:00 | shop=shops.txt | url=https://shops.txt/collections/sneakers/products.json?limit=250 | issue=Request error: DNS lookup failed: no results for hostname lookup: shops.txt.
2025-09-20T17:57:29.505296+00:00 | shop=www.logoofficial.com/collections/logoall | url=https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250
2025-09-20T17:58:43.864652+00:00 | shop=opiabylogo.com/collections/heels | url=https://opiabylogo.com/collections/heels/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://opiabylogo.com/collections/heels/collections/MEN/products.json?limit=250
2025-09-21T13:17:57.446692+00:00 | shop=clae-uk.eu/collections/deane | url=https://clae-uk.eu/collections/deane/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://clae-uk.eu/collections/deane/collections/MEN/products.json?limit=250
2025-09-21T13:19:26.800752+00:00 | shop=clae-uk.eu/collections/shoes | url=https://clae-uk.eu/collections/shoes/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://clae-uk.eu/collections/shoes/collections/MEN/products.json?limit=250
2025-09-21T13:34:22.178970+00:00 | shop=www.logoofficial.com/collections/logoall | url=https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250
2025-09-21T13:37:01.550139+00:00 | shop=www.logoofficial.com/collections/logoall | url=https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250
2025-09-21T13:40:19.801742+00:00 | shop=www.logoofficial.com/collections/logoall | url=https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250
2025-09-21T13:46:01.989136+00:00 | shop=www.logoofficial.com/collections/logoall | url=https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250
2025-09-21T13:47:03.881857+00:00 | shop=www.logoofficial.com/collections/logoall | url=https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250
2025-09-23T14:47:55.379513+00:00 | shop=www.logoofficial.com/collections/logoall | url=https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250
2025-09-23T14:54:54.571241+00:00 | shop=www.logoofficial.com/collections/logoall | url=https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250
2025-09-23T15:25:00.594892+00:00 | shop=www.logoofficial.com/collections/logoall | url=https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250 | issue=HTTP 404 Not Found for https://www.logoofficial.com/collections/logoall/collections/MEN/products.json?limit=250
